sample_id,subject_id,split,rgb_path,vis_path
p002_neutral_front,p002,test,"Hyper-Skin(RGB, VIS)/test/RGB/p002_neutral_front.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p002_neutral_front.mat"
p002_neutral_left,p002,test,"Hyper-Skin(RGB, VIS)/test/RGB/p002_neutral_left.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p002_neutral_left.mat"
p002_neutral_right,p002,test,"Hyper-Skin(RGB, VIS)/test/RGB/p002_neutral_right.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p002_neutral_right.mat"
p002_smile_front,p002,test,"Hyper-Skin(RGB, VIS)/test/RGB/p002_smile_front.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p002_smile_front.mat"
p002_smile_left,p002,test,"Hyper-Skin(RGB, VIS)/test/RGB/p002_smile_left.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p002_smile_left.mat"
p002_smile_right,p002,test,"Hyper-Skin(RGB, VIS)/test/RGB/p002_smile_right.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p002_smile_right.mat"
p035_neutral_front,p035,test,"Hyper-Skin(RGB, VIS)/test/RGB/p035_neutral_front.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p035_neutral_front.mat"
p035_neutral_left,p035,test,"Hyper-Skin(RGB, VIS)/test/RGB/p035_neutral_left.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p035_neutral_left.mat"
p035_neutral_right,p035,test,"Hyper-Skin(RGB, VIS)/test/RGB/p035_neutral_right.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p035_neutral_right.mat"
p035_smile_front,p035,test,"Hyper-Skin(RGB, VIS)/test/RGB/p035_smile_front.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p035_smile_front.mat"
p035_smile_left,p035,test,"Hyper-Skin(RGB, VIS)/test/RGB/p035_smile_left.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p035_smile_left.mat"
p035_smile_right,p035,test,"Hyper-Skin(RGB, VIS)/test/RGB/p035_smile_right.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p035_smile_right.mat"
p036_neutral_front,p036,test,"Hyper-Skin(RGB, VIS)/test/RGB/p036_neutral_front.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p036_neutral_front.mat"
p036_neutral_left,p036,test,"Hyper-Skin(RGB, VIS)/test/RGB/p036_neutral_left.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p036_neutral_left.mat"
p036_neutral_right,p036,test,"Hyper-Skin(RGB, VIS)/test/RGB/p036_neutral_right.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p036_neutral_right.mat"
p036_smile_front,p036,test,"Hyper-Skin(RGB, VIS)/test/RGB/p036_smile_front.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p036_smile_front.mat"
p036_smile_left,p036,test,"Hyper-Skin(RGB, VIS)/test/RGB/p036_smile_left.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p036_smile_left.mat"
p036_smile_right,p036,test,"Hyper-Skin(RGB, VIS)/test/RGB/p036_smile_right.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p036_smile_right.mat"
p039_neutral_front,p039,test,"Hyper-Skin(RGB, VIS)/test/RGB/p039_neutral_front.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p039_neutral_front.mat"
p039_neutral_left,p039,test,"Hyper-Skin(RGB, VIS)/test/RGB/p039_neutral_left.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p039_neutral_left.mat"
p039_neutral_right,p039,test,"Hyper-Skin(RGB, VIS)/test/RGB/p039_neutral_right.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p039_neutral_right.mat"
p039_smile_front,p039,test,"Hyper-Skin(RGB, VIS)/test/RGB/p039_smile_front.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p039_smile_front.mat"
p039_smile_left,p039,test,"Hyper-Skin(RGB, VIS)/test/RGB/p039_smile_left.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p039_smile_left.mat"
p039_smile_right,p039,test,"Hyper-Skin(RGB, VIS)/test/RGB/p039_smile_right.jpg","Hyper-Skin(RGB, VIS)/test/VIS/p039_smile_right.mat"
p003_neutral_front,p003,train,"Hyper-Skin(RGB, VIS)/train/RGB/p003_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p003_neutral_front.mat"
p003_neutral_left,p003,train,"Hyper-Skin(RGB, VIS)/train/RGB/p003_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p003_neutral_left.mat"
p003_neutral_right,p003,train,"Hyper-Skin(RGB, VIS)/train/RGB/p003_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p003_neutral_right.mat"
p003_smile_front,p003,train,"Hyper-Skin(RGB, VIS)/train/RGB/p003_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p003_smile_front.mat"
p003_smile_left,p003,train,"Hyper-Skin(RGB, VIS)/train/RGB/p003_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p003_smile_left.mat"
p003_smile_right,p003,train,"Hyper-Skin(RGB, VIS)/train/RGB/p003_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p003_smile_right.mat"
p004_neutral_front,p004,train,"Hyper-Skin(RGB, VIS)/train/RGB/p004_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p004_neutral_front.mat"
p004_neutral_left,p004,train,"Hyper-Skin(RGB, VIS)/train/RGB/p004_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p004_neutral_left.mat"
p004_neutral_right,p004,train,"Hyper-Skin(RGB, VIS)/train/RGB/p004_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p004_neutral_right.mat"
p004_smile_front,p004,train,"Hyper-Skin(RGB, VIS)/train/RGB/p004_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p004_smile_front.mat"
p004_smile_left,p004,train,"Hyper-Skin(RGB, VIS)/train/RGB/p004_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p004_smile_left.mat"
p004_smile_right,p004,train,"Hyper-Skin(RGB, VIS)/train/RGB/p004_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p004_smile_right.mat"
p005_neutral_front,p005,train,"Hyper-Skin(RGB, VIS)/train/RGB/p005_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p005_neutral_front.mat"
p005_neutral_left,p005,train,"Hyper-Skin(RGB, VIS)/train/RGB/p005_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p005_neutral_left.mat"
p005_neutral_right,p005,train,"Hyper-Skin(RGB, VIS)/train/RGB/p005_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p005_neutral_right.mat"
p005_smile_front,p005,train,"Hyper-Skin(RGB, VIS)/train/RGB/p005_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p005_smile_front.mat"
p005_smile_left,p005,train,"Hyper-Skin(RGB, VIS)/train/RGB/p005_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p005_smile_left.mat"
p005_smile_right,p005,train,"Hyper-Skin(RGB, VIS)/train/RGB/p005_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p005_smile_right.mat"
p006_neutral_front,p006,train,"Hyper-Skin(RGB, VIS)/train/RGB/p006_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p006_neutral_front.mat"
p006_neutral_left,p006,train,"Hyper-Skin(RGB, VIS)/train/RGB/p006_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p006_neutral_left.mat"
p006_neutral_right,p006,train,"Hyper-Skin(RGB, VIS)/train/RGB/p006_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p006_neutral_right.mat"
p006_smile_front,p006,train,"Hyper-Skin(RGB, VIS)/train/RGB/p006_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p006_smile_front.mat"
p006_smile_left,p006,train,"Hyper-Skin(RGB, VIS)/train/RGB/p006_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p006_smile_left.mat"
p006_smile_right,p006,train,"Hyper-Skin(RGB, VIS)/train/RGB/p006_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p006_smile_right.mat"
p007_neutral_front,p007,train,"Hyper-Skin(RGB, VIS)/train/RGB/p007_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p007_neutral_front.mat"
p007_neutral_left,p007,train,"Hyper-Skin(RGB, VIS)/train/RGB/p007_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p007_neutral_left.mat"
p007_neutral_right,p007,train,"Hyper-Skin(RGB, VIS)/train/RGB/p007_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p007_neutral_right.mat"
p007_smile_front,p007,train,"Hyper-Skin(RGB, VIS)/train/RGB/p007_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p007_smile_front.mat"
p007_smile_left,p007,train,"Hyper-Skin(RGB, VIS)/train/RGB/p007_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p007_smile_left.mat"
p007_smile_right,p007,train,"Hyper-Skin(RGB, VIS)/train/RGB/p007_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p007_smile_right.mat"
p008_neutral_front,p008,train,"Hyper-Skin(RGB, VIS)/train/RGB/p008_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p008_neutral_front.mat"
p008_neutral_left,p008,train,"Hyper-Skin(RGB, VIS)/train/RGB/p008_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p008_neutral_left.mat"
p008_neutral_right,p008,train,"Hyper-Skin(RGB, VIS)/train/RGB/p008_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p008_neutral_right.mat"
p008_smile_front,p008,train,"Hyper-Skin(RGB, VIS)/train/RGB/p008_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p008_smile_front.mat"
p008_smile_left,p008,train,"Hyper-Skin(RGB, VIS)/train/RGB/p008_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p008_smile_left.mat"
p008_smile_right,p008,train,"Hyper-Skin(RGB, VIS)/train/RGB/p008_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p008_smile_right.mat"
p009_neutral_front,p009,train,"Hyper-Skin(RGB, VIS)/train/RGB/p009_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p009_neutral_front.mat"
p009_neutral_left,p009,train,"Hyper-Skin(RGB, VIS)/train/RGB/p009_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p009_neutral_left.mat"
p009_neutral_right,p009,train,"Hyper-Skin(RGB, VIS)/train/RGB/p009_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p009_neutral_right.mat"
p009_smile_front,p009,train,"Hyper-Skin(RGB, VIS)/train/RGB/p009_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p009_smile_front.mat"
p009_smile_left,p009,train,"Hyper-Skin(RGB, VIS)/train/RGB/p009_smile_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p009_smile_left.mat"
p009_smile_right,p009,train,"Hyper-Skin(RGB, VIS)/train/RGB/p009_smile_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p009_smile_right.mat"
p010_neutral_front,p010,train,"Hyper-Skin(RGB, VIS)/train/RGB/p010_neutral_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p010_neutral_front.mat"
p010_neutral_left,p010,train,"Hyper-Skin(RGB, VIS)/train/RGB/p010_neutral_left.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p010_neutral_left.mat"
p010_neutral_right,p010,train,"Hyper-Skin(RGB, VIS)/train/RGB/p010_neutral_right.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p010_neutral_right.mat"
p010_smile_front,p010,train,"Hyper-Skin(RGB, VIS)/train/RGB/p010_smile_front.jpg","Hyper-Skin(RGB, VIS)/train/VIS/p010_smile_front.mat"
